total_score,label
125.00199999999984,1
124.49919999999997,1
106.46519999999987,1
98.78160000000003,1
98.02679999999987,1
95.64719999999977,1
93.86000000000001,1
89.03359999999986,0
87.70719999999983,1
86.75879999999984,1
85.69479999999999,1
84.20679999999982,0
82.80679999999984,1
79.5315999999998,1
79.43759999999986,1
79.40039999999988,1
78.18959999999993,1
77.14159999999981,1
76.58599999999979,1
73.87599999999986,1
73.60879999999986,1
73.4935999999999,1
73.1579999999999,1
72.78639999999996,0
72.47199999999987,0
71.89519999999993,1
71.27159999999981,1
71.26159999999993,1
70.67959999999994,1
70.27039999999988,0
70.02959999999985,1
69.94079999999985,1
69.52119999999991,1
69.30159999999978,1
69.23839999999984,1
69.22279999999978,1
68.62479999999994,1
68.42639999999983,1
68.08519999999987,1
68.05919999999992,1
67.64519999999993,1
67.5723999999999,1
66.91039999999987,1
65.9523999999999,1
65.40159999999992,0
64.73119999999994,1
64.71039999999994,1
64.45359999999982,0
64.1651999999998,1
63.79279999999994,1
63.703599999999824,1
63.320799999999736,1
62.76559999999995,0
62.440399999999954,1
62.21559999999988,1
62.21559999999988,1
60.51199999999983,1
60.49639999999988,1
60.1715999999999,1
59.725999999999885,1
59.34879999999998,0
59.02319999999986,1
58.67759999999987,1
58.1271999999999,1
57.61359999999979,1
56.659999999999854,1
56.177999999999884,1
55.73239999999987,1
55.134799999999814,1
54.0551999999999,1
54.0551999999999,0
53.777999999999906,0
53.60479999999984,1
53.578399999999874,1
53.57359999999994,1
53.394799999999805,1
52.849599999999896,1
52.797599999999875,1
52.781199999999785,1
52.76159999999982,1
52.48799999999983,1
51.890399999999886,1
51.7811999999999,1
51.56599999999992,1
51.350799999999936,1
51.22479999999996,1
50.75839999999994,1
50.67479999999978,1
50.46559999999988,1
50.30799999999988,0
50.19759999999985,1
50.12439999999992,1
50.119199999999864,1
49.92039999999986,1
49.521999999999935,1
48.70399999999984,1
48.22679999999991,0
47.93359999999984,1
47.739999999999895,1
47.70839999999987,0
47.54599999999982,1
47.51439999999991,1
47.084399999999846,1
46.754399999999805,1
46.743999999999915,1
46.65999999999997,1
46.057599999999866,1
45.51239999999984,1
45.20319999999981,1
45.192800000000034,0
45.161199999999894,1
44.90399999999988,1
44.61159999999995,1
44.569199999999796,1
44.537599999999884,1
44.328399999999874,1
44.29119999999989,1
44.259599999999864,1
43.903199999999856,0
43.74599999999987,1
43.73559999999986,1
43.69879999999989,0
43.52159999999981,1
43.4323999999998,1
42.82879999999989,1
42.687599999999975,1
42.2367999999999,1
41.41919999999993,1
41.40879999999993,1
40.92639999999983,1
40.74319999999989,1
40.518399999999815,0
40.135999999999854,0
39.94599999999991,1
39.84159999999986,0
39.77319999999986,1
39.58519999999987,1
39.5687999999999,1
39.49559999999974,1
38.05399999999986,0
37.94439999999986,1
37.62999999999988,1
37.482799999999884,1
37.04799999999989,1
36.93319999999994,1
36.59759999999983,0
36.529199999999946,1
36.25199999999984,0
35.85839999999985,1
35.675199999999904,1
35.42839999999978,1
35.376399999999876,1
35.37079999999992,1
35.06719999999984,1
35.04079999999976,1
34.78399999999988,0
34.70559999999989,1
34.401999999999816,0
34.26999999999987,1
34.129199999999855,1
34.00879999999984,1
33.91439999999989,0
33.86159999999984,0
33.58399999999983,1
33.54719999999975,0
33.264399999999796,1
33.23799999999983,1
33.070399999999836,1
32.97079999999983,1
32.71439999999984,1
32.61479999999983,0
32.59879999999987,1
32.56239999999991,1
32.45759999999996,1
32.24199999999996,1
32.200399999999945,1
31.943599999999833,1
31.943599999999833,1
31.817599999999857,1
31.68679999999995,1
31.409199999999828,0
31.293599999999856,1
31.220399999999813,1
31.052799999999934,0
30.86999999999989,1
30.48119999999983,1
30.37119999999993,0
30.32439999999997,1
30.219199999999887,1
30.172000000000025,1
30.10479999999984,0
30.072399999999902,1
29.805200000000013,1
29.653199999999856,0
29.42319999999995,1
29.40639999999985,1
28.6887999999999,1
28.662799999999834,1
28.238799999999856,1
28.169999999999845,1
27.839999999999918,1
27.83959999999979,1
27.72479999999996,1
27.06399999999985,1
26.28319999999985,1
26.225599999999872,1
26.08919999999989,1
25.947999999999865,1
25.884799999999927,0
25.84879999999987,1
25.80119999999988,0
25.649199999999837,0
25.581599999999867,1
25.10479999999984,0
24.972799999999893,1
24.967599999999834,1
24.853199999999788,1
24.810399999999845,1
